customerno,customertype
3XL001,retail
ACE001,retail
AGOPS,retail
AGSALES,retail
AM3001,retail
AMA001,retail
AMA002,retail
AMA003,retail
AMA004,retail
AMA005,retail
AMA006,retail
AMA007,retail
AMA008,retail
AMA009,retail
AMA010,retail
BED001,retail
BED003,retail
BED004,retail
BED005,retail
BJS001,retail
CAN002,retail
CHE004,retail
CIN001,retail
COS001,retail
COS002,retail
COS003,retail
COS004,retail
COS005,retail
CRA001,retail
DIR011,dr
DIR105,dr
DIR107,dr
DIR108,dr
DIR109,dr
DIR110,dr
DIR111,dr
FRY001,retail
GLO002,retail
GMA001,retail
GRO004,retail
HAM001,retail
HAW002,retail
HAY001,retail
HOM011,retail
HOM014,retail
HOM015,retail
HSN001,retail
HUD001,retail
HYD005,retail
HYD010,retail
HYD011,retail
KOH001,retail
KOH002,retail
LIF002,retail
LNL001,retail
LOW001,retail
LOW002,retail
MAC001,retail
MAC002,retail
MCG001,retail
MEH001,retail
MEH002,retail
MEI001,retail
MIL003,retail
OPE001,retail
PRO004,retail
QVC001,retail
QVC003,retail
SAM001,retail
SAM002,retail
SCO003,retail
SCO005,retail
SCO006,retail
SER002,retail
SHA002,retail
SIR001,retail
SOC001,retail
SPR003,retail
STE003,retail
SUR001,retail
SUR002,retail
TAR001,retail
TAR002,retail
TAS001,retail
TRA002,retail
TRU001,retail
WAL002,retail
WAL005,retail
WAL006,retail
WAL007,retail
WAY002,retail
WIL002,retail
WOO002,retail
WOO003,retail
ZUL001,retail
